ID;Name;Sex;Age;Country;Sport;Games_Type;Year;Has_Medal;Height_cm;Weight_kg
ATH-00001;Svetlana Jung;Female;19;Austria;Rowing;Summer;1896;0;175.9;73.7
ATH-00002;Mary Yamamoto;Female;37;Mexico;Ski Jumping;Winter;1960;1;165.4;68.3
ATH-00003;Oksana Volkov;Female;37;Bulgaria;Figure Skating;Winter;1932;0;164.2;67.2
ATH-00004;Rui Suzuki;Male;32;Hong Kong;Triathlon;Summer;2012;0;190.0;76.0
ATH-00005;Natalya Grigoryan;Female;27;Sweden;Triathlon;Summer;1900;0;175.8;60.9
ATH-00006;Bogdan Bekele;Male;34;South Africa;Rowing;Summer;1904;0;195.5;86.5
ATH-00007;Monika Ito;Female;31;United States;Volleyball;Summer;1996;0;200.5;86.6
ATH-00008;Elnur Shah;Male;41;Soviet Union;Alpine Skiing;Winter;1992;0;189.4;81.3
ATH-00009;Natalya Mammadov;Female;39;Chinese Taipei;Canoe/Kayak;Summer;2000;0;194.5;78.1
ATH-00010;Matthew Martin;Male;22;Netherlands;Archery;Summer;2004;1;178.7;83.9
ATH-00011;Meseret Haile;Female;29;Bulgaria;Boxing;Summer;1900;1;163.2;67.3
ATH-00012;Sun Mammadov;Male;41;Australia;Bobsled;Winter;1998;1;197.1;78.2
ATH-00013;Michelle Popov;Female;24;New Zealand;Taekwondo;Summer;1920;0;192.0;73.4
ATH-00014;Romain Dibaba;Male;33;China;Weightlifting;Summer;2004;1;163.2;123.0
ATH-00015;John Constantin;Male;34;Cuba;Fencing;Summer;1996;0;193.7;90.2
ATH-00016;Jiajun Batjargal;Male;24;Georgia;Fencing;Summer;2004;0;183.8;83.7
ATH-00017;Christopher Bekele;Male;41;North Korea;Canoe/Kayak;Summer;2024;0;188.9;82.1
ATH-00018;Nataliya Batjargal;Female;19;Great Britain;Basketball;Summer;2000;0;200.0;91.2
ATH-00019;Tigran Tanaka;Male;40;Hong Kong;Basketball;Summer;2024;1;182.0;117.2
ATH-00020;Valentina Yoon;Female;22;Switzerland;Archery;Summer;1906;0;181.9;71.0
ATH-00021;Sandrine Hernandez;Female;28;Great Britain;Canoe/Kayak;Summer;1896;0;163.1;97.0
ATH-00022;Kamran Sanchez;Male;34;Denmark;Tennis;Summer;1912;0;174.4;82.9
ATH-00023;Asha Babayev;Female;41;Czech Republic;Judo;Summer;2004;1;183.0;74.6
ATH-00024;Lisa Kwon;Female;36;Spain;Wrestling;Summer;1908;1;189.4;60.8
ATH-00025;George Johnson;Male;39;Greece;Figure Skating;Winter;1992;1;163.2;74.7
ATH-00026;Camelia Kaminski;Female;20;Thailand;Alpine Skiing;Winter;1988;0;170.4;63.1
ATH-00027;Paolo Zhao;Male;37;Australia;Wrestling;Summer;1904;0;165.7;88.6
ATH-00028;Giulia Adeyemi;Female;42;United States;Figure Skating;Winter;1992;0;169.4;46.0
ATH-00029;Gantulga Aliyev;Male;15;Mexico;Volleyball;Summer;2020;1;172.0;80.2
ATH-00030;Ekaterina Phelps;Female;30;Singapore;Triathlon;Summer;2016;1;187.1;80.6
ATH-00031;Arsen Lee;Male;29;Iran;Football (Soccer);Summer;1996;1;181.5;87.9
ATH-00032;Mark Romano;Male;42;Austria;Tennis;Summer;1900;0;164.6;80.9
ATH-00033;Gunel Zhao;Female;28;Pakistan;Luge;Winter;1976;0;187.8;82.9
ATH-00034;Aurelie Wilson;Female;30;India;Bobsled;Winter;1960;1;191.0;83.8
ATH-00035;Florent Shevchenko;Male;35;Nigeria;Ski Jumping;Winter;1992;0;180.3;55.3
ATH-00036;Sofia Greco;Female;23;Mongolia;Biathlon;Winter;1976;0;186.6;68.2
ATH-00037;Ondrej Aliyev;Male;19;Cuba;Speed Skating;Winter;1952;0;190.9;79.2
ATH-00038;Magdalena Robinson;Female;33;France;Skeleton;Winter;1936;1;179.7;78.7
ATH-00039;Halyna Kiros;Female;24;Mexico;Figure Skating;Winter;1988;0;176.8;50.5
ATH-00040;Maria Moore;Female;22;Belarus;Bobsled;Winter;2018;0;197.7;109.4
ATH-00041;Elmar Martin;Male;41;Netherlands;Rowing;Summer;2000;1;178.7;92.5
ATH-00042;Anahit Gonzalez;Female;34;Great Britain;Wrestling;Summer;2004;1;175.4;107.1
ATH-00043;Tirunesh Silva;Female;25;South Africa;Freestyle Skiing;Winter;1932;0;161.1;58.1
ATH-00044;Jessica Popov;Female;31;South Africa;Short Track Speed Skating;Winter;1924;0;161.5;60.6
ATH-00045;Giorgi Gebrselassie;Male;17;Greece;Volleyball;Summer;1908;0;190.4;75.9
ATH-00046;Tigran Martinez;Male;23;Sweden;Basketball;Summer;1920;0;215.0;99.4
ATH-00047;Gantulga Müller;Male;33;Bulgaria;Figure Skating;Winter;1988;1;171.3;46.3
ATH-00048;Patricia Liu;Female;28;Colombia;Bobsled;Winter;1936;0;189.5;112.6
ATH-00049;Lars Rossi;Male;22;Great Britain;Freestyle Skiing;Winter;1998;0;187.1;56.6
ATH-00050;Gabriela Kato;Female;20;Greece;Basketball;Summer;1906;0;190.8;85.2
ATH-00051;Matthew Kowalczyk;Male;26;Austria;Taekwondo;Summer;2008;0;189.6;53.9
ATH-00052;Elena Williams;Female;33;Greece;Taekwondo;Summer;1896;0;187.7;59.1
ATH-00053;Walter Wójcik;Male;16;Australia;Football (Soccer);Summer;2008;1;168.6;64.0
ATH-00054;Alexandra Esposito;Female;38;Japan;Triathlon;Summer;2020;0;194.0;76.7
ATH-00055;Nataliya Yadav;Female;41;Spain;Rowing;Summer;1996;0;181.6;67.5
ATH-00056;Karolina Gebremariam;Female;18;United States;Football (Soccer);Summer;1896;0;186.8;64.6
ATH-00057;Natalya Kowalczyk;Female;29;Great Britain;Ski Jumping;Winter;1964;1;173.0;52.6
ATH-00058;Thomas Silva;Male;22;South Africa;Shooting;Summer;2008;1;186.8;64.3
ATH-00059;Nino Fischer;Male;40;Hungary;Triathlon;Summer;2020;0;181.8;55.4
ATH-00060;Faith Shah;Female;31;China;Rowing;Summer;2012;0;176.8;84.2
ATH-00061;Darya Yang;Female;17;France;Weightlifting;Summer;2024;0;176.2;98.1
ATH-00062;Julien Santos;Male;41;Cuba;Shooting;Summer;1920;0;172.4;61.1
ATH-00063;Kimberly Gantulga;Female;16;France;Wrestling;Summer;1920;0;190.1;112.7
ATH-00064;Olga Farah;Female;26;Hungary;Short Track Speed Skating;Winter;1956;0;183.1;76.9
ATH-00065;Hovhannes Liu;Male;33;United States;Biathlon;Winter;1976;1;176.4;70.6
ATH-00066;Liang Jackson;Male;36;Germany;Wrestling;Summer;2024;0;166.0;96.0
ATH-00067;Susan Choi;Female;27;Egypt;Freestyle Skiing;Winter;1994;1;169.8;55.3
ATH-00068;Emily Kamau;Female;42;Belgium;Archery;Summer;2000;1;174.5;80.6
ATH-00069;Lisa Wiśniewski;Female;42;North Korea;Curling;Winter;2018;0;187.4;73.9
ATH-00070;Naira Yang;Female;22;Spain;Short Track Speed Skating;Winter;1956;1;183.7;70.8
ATH-00071;Arjun Martinez;Male;30;Cuba;Alpine Skiing;Winter;2010;0;175.5;61.5
ATH-00072;Vikram Navruzov;Male;35;India;Short Track Speed Skating;Winter;1980;0;184.5;54.5
ATH-00073;Nisha Gebrselassie;Female;39;Canada;Volleyball;Summer;1912;0;192.3;80.5
ATH-00074;Valentina Mwangi;Female;19;Japan;Biathlon;Winter;1932;0;184.4;88.7
ATH-00075;Luis Melnyk;Male;21;Finland;Speed Skating;Winter;1968;1;167.2;71.9
ATH-00076;Aysel Kwon;Female;29;Turkey;Bobsled;Winter;1928;1;181.0;117.4
ATH-00077;Oleksandr Petrov;Male;40;Greece;Short Track Speed Skating;Winter;1994;1;177.2;67.5
ATH-00078;Kamran Choi;Male;41;Argentina;Short Track Speed Skating;Winter;1948;0;168.4;54.4
ATH-00079;Franz Dinu;Male;37;Hungary;Biathlon;Winter;1948;0;169.9;63.5
ATH-00080;Karen Bekele;Female;41;Bulgaria;Cycling;Summer;1906;1;175.9;55.0
ATH-00081;Tsend-Ochir Nozadze;Male;32;Spain;Wrestling;Summer;2000;0;181.5;133.5
ATH-00082;Razvan Yuldashev;Male;38;Singapore;Cross-Country Skiing;Winter;1960;0;194.4;70.8
ATH-00083;Bogdan Petrov;Male;16;Sweden;Gymnastics (Artistic);Summer;1908;0;171.4;46.7
ATH-00084;Ayana Wanjiku;Female;38;Italy;Biathlon;Winter;1964;0;171.5;61.1
ATH-00085;Carlos Esposito;Male;24;France;Taekwondo;Summer;1912;1;184.9;90.9
ATH-00086;Priya Amiranashvili;Female;40;South Africa;Weightlifting;Summer;2008;0;160.0;77.4
ATH-00087;Anjali Kowalczyk;Female;39;Kenya;Basketball;Summer;2008;0;213.2;71.6
ATH-00088;Natalya Rossi;Female;37;Russia;Canoe/Kayak;Summer;2016;1;197.9;92.4
ATH-00089;Giulia Yamamoto;Female;37;Austria;Weightlifting;Summer;2000;0;186.7;77.5
ATH-00090;Daniel Rodriguez;Male;27;Sweden;Curling;Winter;1998;0;194.2;90.7
ATH-00091;Rahul Sargsyan;Male;42;Malaysia;Judo;Summer;2016;0;192.6;59.7
ATH-00092;Kimberly Romano;Female;34;South Africa;Canoe/Kayak;Summer;1906;0;188.2;84.2
ATH-00093;Ketevan Kim;Female;39;Greece;Wrestling;Summer;1896;0;167.1;119.6
ATH-00094;Dafne Kuznetsov;Female;25;Greece;Volleyball;Summer;1996;0;175.2;79.8
ATH-00095;Anthony Jackson;Male;24;South Korea;Triathlon;Summer;1996;0;187.4;68.5
ATH-00096;Irina Lee;Female;33;Cuba;Swimming;Summer;1900;0;181.2;90.3
ATH-00097;Camelia Rossi;Female;17;Netherlands;Ice Hockey;Winter;1928;0;199.3;87.0
ATH-00098;Monika Anderson;Female;16;New Zealand;Tennis;Summer;2004;0;195.9;60.6
ATH-00099;Gunel Enkhtaivan;Female;24;Bulgaria;Fencing;Summer;2004;0;183.5;65.6
ATH-00100;Vahram Bekele;Male;21;Romania;Figure Skating;Winter;1948;0;171.6;66.4
ATH-00101;Salome Kovalenko;Female;31;Canada;Football (Soccer);Summer;2000;0;182.5;65.8
ATH-00102;Christine Kovalenko;Female;26;Canada;Taekwondo;Summer;2012;0;193.3;86.0
ATH-00103;Siranush Kovalenko;Female;21;Egypt;Cross-Country Skiing;Winter;1988;0;182.7;74.4
ATH-00104;Claire Dinu;Female;18;Great Britain;Archery;Summer;1896;1;176.8;63.0
ATH-00105;Elmar Watanabe;Male;28;Kazakhstan;Archery;Summer;2000;0;162.3;77.7
ATH-00106;Sofia Volkov;Female;40;South Africa;Freestyle Skiing;Winter;1948;0;183.7;74.9
ATH-00107;Lisa Wanjiku;Female;36;Turkey;Ice Hockey;Winter;1984;0;177.1;100.6
ATH-00108;Svetlana Kwon;Female;16;Turkey;Athletics;Summer;1908;0;190.5;106.7
ATH-00109;Almaz Babayev;Female;30;Kazakhstan;Basketball;Summer;1996;0;211.3;76.7
ATH-00110;Sandra Kuznetsov;Female;37;Netherlands;Basketball;Summer;1904;0;193.1;97.4
ATH-00111;Krzysztof Lee;Male;33;Japan;Swimming;Summer;1920;0;168.0;71.4
ATH-00112;Deepika Singh;Female;17;Ethiopia;Ski Jumping;Winter;1976;0;172.8;51.1
ATH-00113;Erik Constantin;Male;26;Brazil;Luge;Winter;1998;0;186.0;95.1
ATH-00114;Erik Thomas;Male;27;Thailand;Bobsled;Winter;2006;0;194.5;106.6
ATH-00115;Julien Bianchi;Male;23;Australia;Diving;Summer;1908;0;184.2;78.1
ATH-00116;Deepika Ivanov;Female;39;Hungary;Ski Jumping;Winter;1984;0;177.1;71.2
ATH-00117;Lisa Hasanov;Female;38;Kenya;Wrestling;Summer;2024;0;184.8;99.7
ATH-00118;Krzysztof Kovalenko;Male;22;Sweden;Athletics;Summer;1906;1;183.7;90.7
ATH-00119;Enkhjargal Lopez;Female;21;Uzbekistan;Boxing;Summer;2016;1;178.8;73.1
ATH-00120;Nesta Babayev;Male;35;Brazil;Archery;Summer;1920;0;184.7;69.1
ATH-00121;Nizami Jackson;Male;39;Great Britain;Cycling;Summer;2000;0;173.9;68.7
ATH-00122;Patricia Brown;Female;31;United States;Freestyle Skiing;Winter;1924;0;187.5;73.4
ATH-00123;Marco Njoroge;Male;29;Ethiopia;Triathlon;Summer;2016;1;175.1;69.9
ATH-00124;Gabriela Biles;Female;31;Egypt;Freestyle Skiing;Winter;1984;0;180.5;64.8
ATH-00125;Tomasz Kamau;Male;17;Austria;Swimming;Summer;1906;0;191.9;60.6
ATH-00126;Tatiana Clark;Female;25;Sweden;Cross-Country Skiing;Winter;1928;0;183.3;80.9
ATH-00127;Nancy Esposito;Female;40;Ukraine;Judo;Summer;2008;1;169.7;53.5
